task,harness,model,prompt,run,status,start,end,duration_s,outdir
abs-module-cache-flags,opencode,modal-low/moonshotai/Kimi-K3,v1,2,fail,1786539375.899,1786539655.555,279.7,k3-low__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal-low/moonshotai/Kimi-K3,v1,1,fail,1786539375.898,1786539697.875,322.0,k3-low__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal-low/moonshotai/Kimi-K3,v1,3,fail,1786539375.906,1786539733.733,357.8,k3-low__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal-high/moonshotai/Kimi-K3,v1,3,fail,1786539375.906,1786539846.714,470.8,k3-high__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal-high/moonshotai/Kimi-K3,v1,2,pass,1786539375.899,1786539864.429,488.5,k3-high__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal-high/moonshotai/Kimi-K3,v1,1,pass,1786539375.896,1786539877.849,502.0,k3-high__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal/moonshotai/Kimi-K3,v1,4,pass,1786539375.907,1786539952.661,576.8,k3__abs-module-cache-flags__run4
abs-module-cache-flags,opencode,modal-low/moonshotai/Kimi-K3,v1,4,fail,1786539697.880,1786540035.459,337.6,k3-low__abs-module-cache-flags__run4
abs-module-cache-flags,opencode,modal/moonshotai/Kimi-K3,v1,3,pass,1786539375.901,1786540064.065,688.2,k3__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal-high/moonshotai/Kimi-K3,v1,4,pass,1786539655.560,1786540070.090,414.5,k3-high__abs-module-cache-flags__run4
abs-module-cache-flags,opencode,modal/moonshotai/Kimi-K3,v1,1,fail,1786539375.898,1786540098.693,722.8,k3__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal/moonshotai/Kimi-K3,v1,2,pass,1786539375.898,1786540110.914,735.0,k3__abs-module-cache-flags__run2
abs-stepped-slices,opencode,modal/moonshotai/Kimi-K3,v1,2,fail,1786539877.856,1786540112.950,235.1,k3__abs-stepped-slices__run2
abs-stepped-slices,opencode,modal-low/moonshotai/Kimi-K3,v1,1,pass,1786539864.436,1786540192.581,328.1,k3-low__abs-stepped-slices__run1
abs-stepped-slices,opencode,modal/moonshotai/Kimi-K3,v1,1,pass,1786539733.739,1786540365.526,631.8,k3__abs-stepped-slices__run1
abs-stepped-slices,opencode,modal-high/moonshotai/Kimi-K3,v1,2,pass,1786539952.669,1786540394.840,442.2,k3-high__abs-stepped-slices__run2
abs-stepped-slices,opencode,modal-high/moonshotai/Kimi-K3,v1,1,fail,1786539846.723,1786540407.389,560.7,k3-high__abs-stepped-slices__run1
abs-stepped-slices,opencode,modal-low/moonshotai/Kimi-K3,v1,2,pass,1786540035.465,1786540461.298,425.8,k3-low__abs-stepped-slices__run2
abs-stepped-slices,opencode,modal-low/moonshotai/Kimi-K3,v1,3,fail,1786540098.702,1786540461.590,362.9,k3-low__abs-stepped-slices__run3
abs-stepped-slices,opencode,modal-low/moonshotai/Kimi-K3,v1,4,fail,1786540192.587,1786540528.598,336.0,k3-low__abs-stepped-slices__run4
abs-stepped-slices,opencode,modal-high/moonshotai/Kimi-K3,v1,3,pass,1786540070.099,1786540545.452,475.4,k3-high__abs-stepped-slices__run3
abs-stepped-slices,opencode,modal-high/moonshotai/Kimi-K3,v1,4,pass,1786540112.954,1786540689.110,576.2,k3-high__abs-stepped-slices__run4
abs-stepped-slices,opencode,modal/moonshotai/Kimi-K3,v1,3,pass,1786540064.081,1786540779.357,715.3,k3__abs-stepped-slices__run3
